counter,name,character_type,diagnosis,cause_of_death,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,patient,['Contusions'],[],['No treatment available'],Lou Cutell,single,['S-12-EP-4'],Old_Time_Rock_and_Roll,Old Time Rock and Roll,Old_Time_Rock_and_Roll,Old Time Rock and Roll,['12']
1,Brad Ackles,patient,"['Lacerations', 'Gunshot wound']",[],['Debridement'],Ken Marino,single,['S-2-EP-25'],17_Seconds,17 Seconds,17_Seconds,17 Seconds,['2']
3,Reed Adamson,intern resident,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""Shooting_and_Death"">Shooting and Death</span><span class=""editsection""><a href=""/wiki/Reed_Adamson?action=edit&amp;section=9"" title=""Edit Shooting and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<figure class=""article-thumb tleft show-info-icon"" style=""width: 180px""> \t<a href=""https://vignette.wikia.nocookie.net/greysanatomy/images/2/25/6x23ReedAdamsonDead.jpg/revision/latest?cb=20130201034452"" \tclass=""image image-thumbnail"" \t \t \t><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" \t alt=""6x23ReedAdamsonDead""  \tclass=""thumbimage lzy lzyPlcHld "" \t \tdata-image-key=""6x23ReedAdamsonDead.jpg"" \tdata-image-name=""6x23ReedAdamsonDead.jpg"" \t data-src=""https://vignette.wikia.nocookie.net/greysanatomy/images/2/25/6x23ReedAdamsonDead.jpg/revision/latest/scale-to-width-down/180?cb=20130201034452""  \t width=""180""  \t height=""103""  \t \t \t onload=""if(typeof ImgLzy===&#39;object&#39;){ImgLzy.load(this)}""  \t><noscript><img src=""https://vignette.wikia.nocookie.net/greysanatomy/images/2/25/6x23ReedAdamsonDead.jpg/revision/latest/scale-to-width-down/180?cb=20130201034452"" \t alt=""6x23ReedAdamsonDead""  \tclass=""thumbimage "" \t \tdata-image-key=""6x23ReedAdamsonDead.jpg"" \tdata-image-name=""6x23ReedAdamsonDead.jpg"" \t \t width=""180""  \t height=""103""  \t \t \t \t></noscript></a>  \t<figcaption> \t\t \t\t\t<a href=""/wiki/File:6x23ReedAdamsonDead.jpg"" class=""sprite info-icon""></a> \t\t \t\t \t\t \t\t\t<p class=""caption"">Reed Adamson\'s tragic death.</p> \t\t \t</figcaption> </figure>\n<p>While looking for supplies for a patient, Gary Clark asked her where Derek\'s office was. She said she was a surgeon, not a tour guide and needed to attend to a patient having seizures. He immediately shot her in the head, killing her instantly. Her body was discovered by <a href=""/wiki/April_Kepner"" title=""April Kepner"">April Kepner</a>, who slipped in her blood as she passed. <i>(""<a href=""/wiki/Sanctuary"" title=""Sanctuary"">Sanctuary</a>"")</i>\n</p>']",['No treatment available'],Nora Zehetner,multiple,"['S-6-EP-5', 'S-6-EP-23']",Invasion,Invasion,Sanctuary,Sanctuary,['6']
4,Winnie Adkins,patient,"['Hemothorax', 'Internal bleeding']",[],"['Chest tube', 'Surgery']",Ruby Jay,single,['S-13-EP-9'],You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',['13']
5,Kim Allen,patient,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",[],['Physician-assisted suicide'],Sara Gilbert,single,['S-6-EP-18'],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
6,Grandma Anderson,patient,['Car accident injuries'],[],['No treatment available'],Evelyn Reese,multiple,"['S-8-EP-9', 'S-8-EP-10']",Dark_Was_the_Night,Dark Was the Night,Suddenly,Suddenly,['8']
7,Holly Anderson,patient,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",[],"['Craniotomy', 'Surgery', 'Organ Harvest']",Christa B. Allen,single,['S-5-EP-10'],All_By_Myself,All By Myself,All_By_Myself,All By Myself,['5']
8,Jessica Anderson,patient,['Crash injuries'],[],['Attempted resuscitation'],No actor listed.,single,['S-8-EP-10'],Suddenly,Suddenly,Su
