counter,character_name,character_gender,character_major_or_minor,image,character_type,diagnosis,cause_of_death,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
27,Abraham,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/30/12x04Abraham.png/revision/latest/scale-to-width-down/350?cb=20151017100957,patient,['Contusions'],[],['No treatment available'],Lou Cutell,single,['S-12-EP-4'],Old_Time_Rock_and_Roll,Old Time Rock and Roll,Old_Time_Rock_and_Roll,Old Time Rock and Roll,['12']
27,Brad Ackles,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/9/98/225Brad.png/revision/latest/scale-to-width-down/350?cb=20130414001053,patient,"['Lacerations', 'Gunshot wound']",[],['Debridement'],Ken Marino,single,['S-2-EP-25'],17_Seconds,17 Seconds,17_Seconds,17 Seconds,['2']
27,Reed Adamson,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/3d/6x05-9.png/revision/latest/scale-to-width-down/333?cb=20130427113745,intern resident,['Gunshot wound'],"['<h3><span class=""mw-headline"" id=""Shooting_and_Death"">Shooting and Death</span><span class=""editsection""><a href=""/wiki/Reed_Adamson?action=edit&amp;section=9"" title=""Edit Shooting and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<figure class=""article-thumb tleft show-info-icon"" style=""width: 180px""> \t<a href=""https://vignette.wikia.nocookie.net/greysanatomy/images/2/25/6x23ReedAdamsonDead.jpg/revision/latest?cb=20130201034452"" \tclass=""image image-thumbnail"" \t \t \t><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" \t alt=""6x23ReedAdamsonDead""  \tclass=""thumbimage lzy lzyPlcHld "" \t \tdata-image-key=""6x23ReedAdamsonDead.jpg"" \tdata-image-name=""6x23ReedAdamsonDead.jpg"" \t data-src=""https://vignette.wikia.nocookie.net/greysanatomy/images/2/25/6x23ReedAdamsonDead.jpg/revision/latest/scale-to-width-down/180?cb=20130201034452""  \t width=""180""  \t height=""103""  \t \t \t onload=""if(typeof ImgLzy===&#39;object&#39;){ImgLzy.load(this)}""  \t><noscript><img src=""https://vignette.wikia.nocookie.net/greysanatomy/images/2/25/6x23ReedAdamsonDead.jpg/revision/latest/scale-to-width-down/180?cb=20130201034452"" \t alt=""6x23ReedAdamsonDead""  \tclass=""thumbimage "" \t \tdata-image-key=""6x23ReedAdamsonDead.jpg"" \tdata-image-name=""6x23ReedAdamsonDead.jpg"" \t \t width=""180""  \t height=""103""  \t \t \t \t></noscript></a>  \t<figcaption> \t\t \t\t\t<a href=""/wiki/File:6x23ReedAdamsonDead.jpg"" class=""sprite info-icon""></a> \t\t \t\t \t\t \t\t\t<p class=""caption"">Reed Adamson\'s tragic death.</p> \t\t \t</figcaption> </figure>\n<p>While looking for supplies for a patient, Gary Clark asked her where Derek\'s office was. She said she was a surgeon, not a tour guide and needed to attend to a patient having seizures. He immediately shot her in the head, killing her instantly. Her body was discovered by <a href=""/wiki/April_Kepner"" title=""April Kepner"">April Kepner</a>, who slipped in her blood as she passed. <i>(""<a href=""/wiki/Sanctuary"" title=""Sanctuary"">Sanctuary</a>"")</i>\n</p>']",['No treatment available.'],Nora Zehetner,multiple,"['S-6-EP-9', 'S-6-EP-11', 'S-6-EP-5', 'S-6-EP-13', 'S-6-EP-21', 'S-6-EP-6', 'S-6-EP-22', 'S-6-EP-7', 'S-6-EP-23', 'S-6-EP-8', 'S-6-EP-23']",Invasion,Invasion,Sanctuary,Sanctuary,['6']
27,Winnie Adkins,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/52/13x09WinnieAdkins.png/revision/latest/scale-to-width-down/350?cb=20161118113956,patient,"['Hemothorax', 'Internal bleeding']",[],"['Chest tube', 'Surgery']",Ruby Jay,single,['S-13-EP-9'],You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',['13']
27,Kim Allen,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/2/2a/6x18KimAllen.png/revision/latest/scale-to-width-down/350?cb=20130828100141,patient,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",[],['Physician-assisted suicide'],Sara Gilbert,single,['S-6-EP-18'],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
27,Grandma Anderson,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/e/ee/810Grandma.png/revision/latest/scale-to-width-down/350?cb=20130706224101,patient,['Car accident injuries'],[],['No treatment available'],Evelyn Reese,multiple,['S-8-EP-10'],Dark_Was_the_Night,Dark Was the Night,Suddenly,Suddenly,['8']
27,Holly Anderson,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/31/510HollyAnderson.png/revision/latest/scale-to-width-down/350?cb=20130506001331,patient,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",[],"['Craniotomy', 'Surgery', 'Organ Harvest']",Christa B. Allen,single,['S-5-EP-10'],All_By_Myself,All By Myself,All_By_Myself,All By Myself,['5']
27,Jessica Anderson,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/1/18/810JessicaAnderson.png/revision/latest/scale-to-width-down/350?cb=20140911030526,patient,['Crash injuries'],[],['Attempted resuscitation'],No actor listed.,single,['S-8-EP-10'],Suddenly,Suddenly,Suddenly,Suddenly,['8']
27,Robert Anderson,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/2/2b/810Robert.png/revision/latest/scale-to-width-down/350?cb=20130706224009,patient,"['Crushed pelvis', 'Internal bleeding']",[],"['Pelvic reduction', 'Surgery']",Dan Conroy,multiple,['S-8-EP-10'],Dark_Was_the_Night,Dark Was the Night,Suddenly,Suddenly,['8']
27,Wallace Anderson,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/0/03/6x08WallaceAnderson.png/revision/latest/scale-to-width-down/350?cb=20130520104654,patient,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",[],"['Total parenteral nutrition', 'Bowel Resection']",Khamani Griffin,single,['S-6-EP-8'],Invest_in_Love,Invest in Love,Invest_in_Love,Invest in Love,['6']
27,Harper Avery,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/d/df/14x03HarperAvery.png/revision/latest/scale-to-width-down/350?cb=20171006092046,family,['No diagnosis available'],[],['No treatment available'],Chelcie Ross,multiple,['S-14-EP-3'],Perfect_Little_Accident,Perfect Little Accident,Go_Big_or_Go_Home,Go Big or Go Home,"['6', '14']"
27,Samuel Norbert Avery,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/a/a9/11x11SamuelAvery.png/revision/latest/scale-to-width-down/350?cb=20150213060246,family,['Type II osteogenesis imperfecta'],[],['No treatment available.'],No actor listed.,single,['S-11-EP-11'],All_I_Could_Do_Was_Cry,All I Could Do Was Cry,All_I_Could_Do_Was_Cry,All I Could Do Was Cry,['11']
27,Joyce Basche,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/1/10/9x20JoyceBasche.png/revision/latest/scale-to-width-down/350?cb=20130414113511,patient,"['MRSA', 'Abscess']",[],['Cefazolin'],Sarah Lilly,multiple,['S-9-EP-21'],She%27s_Killing_Me,She's Killing Me,Sleeping_Monster,Sleeping Monster,['9']
27,Cathy Becker,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/0/06/6x06CathyBecker.png/revision/latest/scale-to-width-down/350?cb=20130506191313,patient,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",[],"['Debridement', 'Silver sulfadiazine', 'Cefazolin', 'Ibuprofen', 'Morphine', 'Chest tube', 'Cricothyrotomy', 'Oxygen', 'Central line']",Erinn Hayes,single,['S-6-EP-6'],I_Saw_What_I_Saw,I Saw What I Saw,I_Saw_What_I_Saw,I Saw What I Saw,['6']
27,Ed Beckert,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/55/7x19EdBeckert.png/revision/latest/scale-to-width-down/350?cb=20130712082029,patient,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",[],['No treatment available'],Newell Alexander,single,['S-7-EP-19'],It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,['7']
27,Grace Bickham,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/8/87/215GraceBickham.png/revision/latest/scale-to-width-down/350?cb=20130411140223,patient,['End-stage COPD'],[],"['Hospice care', 'Intubation']",Dona Hardy,single,['S-2-EP-15'],Break_on_Through,Break on Through,Break_on_Through,Break on Through,['2']
27,Andrew Billings,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/8/8e/13x05AndrewBillings.png/revision/latest/scale-to-width-down/350?cb=20161021152234,patient,"['Cardiac myxoma', 'Brain death']",[],['Tumor resection'],Don R. Williams,single,['S-13-EP-5'],Both_Sides_Now,Both Sides Now,Both_Sides_Now,Both Sides Now,['13']
27,Charlie Bilson,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/6/66/814CharlieBilson.png/revision/latest/scale-to-width-down/350?cb=20130721033007,patient,"['Crush injuries', 'Internal bleeding', 'Broken nose']",[],['Surgery'],John Pollono,single,['S-8-EP-14'],All_You_Need_is_Love,All You Need is Love,All_You_Need_is_Love,All You Need is Love,['8']
27,Dr. Bones,andy,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/f/fa/DrBones.png/revision/latest/scale-to-width-down/350?cb=20140221212420,others,['No diagnosis available'],[],['No treatment available'],No actor listed.,,[],Time_Has_Come_Today,Time Has Come Today,,,[]
